Metric,Full Data - Ito,"Full Data - MACD(6,26,12)",Full Data - Buy & Hold,Test - Ito,"Test - MACD(6,26,12)",Test - Buy & Hold
Observations,"2,872.0","2,872.0","2,872.0",862.0,862.0,862.0
Years,11.397,11.397,11.397,3.421,3.421,3.421
Market exposure,18.63%,50.10%,100.00%,31.32%,54.41%,100.00%
Entries,50.0,122.0,,15.0,36.0,
Exits,49.0,122.0,,14.0,36.0,
Average daily turnover,3.45%,8.50%,0.00%,3.36%,8.35%,0.00%
Annual turnover,868.66%,2140.95%,0.00%,847.80%,2104.87%,0.00%
Total asset points,134.46,174.53,210.48,121.11,153.39,193.10
Annual asset points,11.80,15.31,18.47,35.41,44.84,56.45
Average daily points,0.05,0.06,0.07,0.14,0.18,0.22
Best day points,13.50,14.20,14.30,13.50,14.20,14.30
Worst day points,-12.30,-12.30,-12.30,-12.30,-12.30,-12.30
Total return,656.02%,1140.32%,2059.49%,321.00%,381.16%,699.64%
CAGR,19.42%,24.72%,30.94%,52.23%,58.29%,83.63%
Annualized mean return,19.63%,24.87%,32.23%,46.55%,50.61%,68.89%
Annual volatility,19.44%,23.65%,32.51%,30.07%,30.64%,40.26%
Downside volatility,31.03%,21.56%,23.25%,35.59%,26.32%,27.87%
Sharpe ratio,1.010,1.052,0.991,1.548,1.652,1.711
Sortino ratio,0.633,1.154,1.386,1.308,1.923,2.472
Calmar ratio,0.586,0.702,0.450,1.577,2.151,1.771
Max drawdown,-33.12%,-35.23%,-68.83%,-33.12%,-27.10%,-47.22%
Average drawdown,-19.30%,-15.33%,-25.27%,-10.39%,-14.35%,-26.03%
Ulcer index,19.64%,17.43%,33.27%,7.21%,15.53%,29.69%
Max drawdown duration days,"1,812.0",979.0,"1,085.0",70.0,397.0,426.0
Average drawdown duration days,65.4,59.0,39.2,10.1,33.4,27.0
Daily win rate,9.82%,22.53%,44.50%,16.71%,25.75%,47.10%
Daily loss rate,8.77%,26.01%,42.41%,13.34%,27.49%,41.88%
Average daily return,0.08%,0.10%,0.13%,0.18%,0.20%,0.27%
Median daily return,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Best day,7.00%,7.00%,7.00%,7.00%,7.00%,7.00%
Worst day,-7.04%,-7.01%,-7.01%,-7.00%,-7.00%,-7.00%
Skewness,0.835,0.971,0.359,0.472,0.789,0.322
Excess kurtosis,17.506,9.075,3.304,6.245,5.606,1.835
Daily VaR 95%,-0.69%,-1.82%,-2.81%,-2.45%,-2.29%,-3.56%
Daily CVaR 95%,-2.74%,-3.32%,-4.66%,-4.68%,-4.17%,-5.62%
Daily VaR 99%,-4.25%,-4.57%,-6.88%,-6.95%,-6.91%,-6.96%
Daily CVaR 99%,-6.15%,-6.08%,-6.96%,-6.98%,-6.97%,-6.98%
Profit factor,1.539,1.344,1.219,1.613,1.548,1.400
Average winning day,2.27%,1.71%,1.60%,2.91%,2.20%,2.03%
Average losing day,-1.65%,-1.10%,-1.38%,-2.26%,-1.33%,-1.63%
Payoff ratio,1.375,1.552,1.162,1.288,1.652,1.245
"Omega ratio, threshold 0",1.539,1.344,1.219,1.613,1.548,1.400
Beta to buy-and-hold,0.357,0.529,,0.556,0.577,
Annual alpha,8.14%,7.84%,,8.28%,10.83%,
Correlation to benchmark,0.596,0.727,,0.744,0.759,
Tracking error,26.10%,22.34%,,26.92%,26.23%,
Information ratio,-0.483,-0.329,,-0.830,-0.697,
Annual active return,-12.60%,-7.36%,,-22.34%,-18.28%,
Up capture,31.24%,54.08%,,50.74%,59.18%,
Down capture,24.69%,48.92%,,44.00%,53.42%,
Trades,50.0,122.0,,15.0,36.0,
Trade win rate,54.00%,39.34%,,66.67%,41.67%,
Average trade return,6.31%,2.55%,,16.16%,5.47%,
Median trade return,0.11%,-0.86%,,5.37%,-1.10%,
Best trade,205.99%,57.29%,,205.99%,57.29%,
Worst trade,-11.51%,-10.23%,,-11.51%,-10.23%,
Average holding days,11.7,12.8,,18.9,14.0,
Median holding days,3.5,12.0,,5.0,12.0,
Expectancy per trade,6.31%,2.55%,,16.16%,5.47%,
Average trade points,2.69,1.43,,8.07,4.26,
Median trade points,0.17,-0.23,,4.21,-0.25,
Best trade points,81.82,80.82,,81.82,80.82,
Worst trade points,-17.20,-15.06,,-17.20,-15.06,
